"RefDes","Value","Type","Pattern","Quantity"
"C1, C2","18pF","CAP_0603","CAP_0603","2"
"C10, C11, C13, C14, C15, C17, C21, C22, C23, C24, C25, C3, C5, C9",".01uF","CAP_0603","CAP_0603","14"
"C12, C19, C20, C4, C8",".1uF","CAP_0603","CAP_0603","5"
"C16",".15uF","CAP_0603","CAP_0603","1"
"C18, C6","220uF 50V","smt cap 10mm","smd cap 10mm","2"
"C7","47uF 16V","smt cap 6.3mm","smd cap 7mm","1"
"D1, D4, D5, D6, D7","","b360","DO-214","5"
"D2, D3","","LED","LED100","2"
"J1, J2, J3, J7","","Terminal Block 2","Terminal Block 2","4"
"J4","","Terminal Block 5","Terminal Block 5","1"
"J5","","AVR ICSP","ICSP HEADER","1"
"J6","3 Pin Header","Serial port","3 pin HEADER","1"
"L1","27uH","
SRR6038-270Y
","6.8MM IND","1"
"LCD1","","2X16 LCD","2x16 LCD","1"
"P1, P2","","2 PIN HEADER","2 PIN HEADER","2"
"Q1, Q2, Q5","FMMT493TA","FMMT493TA","SOT-23","3"
"Q3, Q4","","IRL510","TO-220","2"
"R1","120k","RES_0603","RES_0603","1"
"R10, R18, R19, R23, R3","220","RES_0603","RES_0603","5"
"R11, R14, R15, R5","120K 1%","RES_0603","RES_0603","4"
"R12, R13, R2, R31, R32, R4, R7","1K 1%","RES_0603","RES_0603","7"
"R16, R17, R21, R22","10K","RES_0603","RES_0603","4"
"R20","5k","pot smt 4mm jlead","pot SMD 4mm J-HOOK ","1"
"R24, R28, R29","0","RES_0603","RES_0603","3"
"R25, R26, R8, R9","1k","RES_0603","RES_0603","4"
"R27, R30","32","RES_0805","RES_0805","2"
"R6","5.49K 1%","RES_0603","RES_0603","1"
"SW1, SW2, SW3, SW4","","Push Button","push button","4"
"T1, T2","","BT139-600E","TO-220AB","2"
"U1","32 tqfp","ATMEGA328P","tqfp32","1"
"U2","","LMR14206","sot23-6","1"
"U3, U5","MCP601T-I/OT","MCP601","sot23-5","2"
"U4","LM4128DMF-2.5/NOPB","LM4128 (2.5V)","sot23-5","1"
"Y1","16MHz","403I35D16M00000 ","smd crystal 3.2 mm x 2.5 mm","1"
